beer1,beer2,scaled_r2
 #9, 120 Minute IPA,0.003980117871906564
 #9, 60 Minute IPA,0.0748662866450621
 #9, 90 Minute IPA,0.05263627189988762
 #9, Alpha King Pale Ale,-0.011339666943694593
 #9, Anchor Steam Beer,0.029190367328066236
 #9, ApriHop,0.22318580267566812
 #9, Arrogant Bastard Ale,0.09199368264304321
 #9, Ayinger Celebrator Doppelbock,0.06805362166951119
 #9, Bell's Expedition Stout,-0.08524258696712295
 #9, Bell's Hopslam Ale,0.045721161794082844
 #9, Bell's Oberon Ale,0.06932522970670203
 #9, Blue Moon Belgian White,0.09725036532649273
 #9, Bourbon County Brand Stout,-0.05594409666341402
 #9, Brooklyn Black Chocolate Stout,0.07288400374022155
 #9, Budweiser,0.12272497642932033
 #9, Burton Baton,0.06309866330515991
 #9, Chimay Grande Réserve (Blue),0.07035173786311257
 #9, Chimay Première (Red),0.03554227735812504
 #9, Chimay Tripel (White),-0.026381189596551204
 #9, Chocolate Stout,0.11102956024057099
 #9, Dale's Pale Ale,0.0047422316561947725
 #9, Dead Guy Ale,0.24693754510278956
 #9, Delirium Tremens,0.2371824257947211
 #9, Double Bastard Ale,-0.024800825212300433
 #9, Dreadnaught IPA,0.02644914626172931
 #9, Duvel,0.07452502713840543
 #9, Fat Tire Amber Ale,0.22778694622996462
 #9, Founders Breakfast Stout,0.09055474912751267
 #9, Founders KBS (Kentucky Breakfast Stout),-0.061578445603974324
 #9, Franziskaner Hefe-Weisse,0.038717068628787446
 #9, Golden Monkey,0.18591297757651146
 #9, Great Lakes Edmund Fitzgerald Porter,0.07934847678935886
 #9, Guinness Draught,-0.056765043021772814
 #9, Hennepin (Farmhouse Saison),0.16564352292533985
 #9, Hoegaarden Original White Ale,0.18601949600577938
 #9, Hop Rod Rye,0.06611642482485991
 #9, Hop Stoopid,-0.04338681321945618
 #9, Hop Wallop,-0.03915387733177089
 #9, HopDevil Ale,-0.015584446044498865
 #9, IPA,0.1762014427581146
 #9, Imperial Stout,0.03174268761811789
 #9, India Pale Ale,0.16869646327722937
 #9, Indian Brown Ale,0.1402291408941546
 #9, La Fin Du Monde,0.08696077976741744
 #9, Maharaja,0.20115709923211758
 #9, Maudite,0.2916948427623767
 #9, Midas Touch Golden Elixir,0.054315387396381025
 #9, Newcastle Brown Ale,0.13769549806488582
 #9, Oak Aged Yeti Imperial Stout,0.014086199849149423
 #9, Oaked Arrogant Bastard Ale,0.06863857042491313
 #9, Oatmeal Stout,0.1277530364285333
 #9, Oktoberfest,0.04418794906054284
 #9, Old Rasputin Russian Imperial Stout,0.03405916118135603
 #9, Ommegang (Abbey Ale),0.16599195660912197
